site_name,culture,geometry,,elevation,slope,aspect,fluctuation,curvature,permanent,intermitte,lake,NDVI,veg_type,soil_type,soil_erosi,grassland,cultivated,temperature,precipitation
97.85460271,None,c(-1025178.75389316, 4298164.6598042),4377,16.88950348,255.9637604,149,3.981711864,20,2,20,0.098285712,Meadows,201,12,49.32212448,23.52499962,-53.15000153,2388.550049
91.78650408,None,c(-1590041.46854929, 4066781.88400766),3760,1.126717329,33.69006729,10,0.199210688,20,2,20,0.119238093,Deserts,72,26,35.9718399,41.46221542,8.25,1040.849976
93.27117624,None,c(-1517034.08502618, 3718880.91171854),4796,1.581688166,212.9052429,15,0.177436426,20,2,20,0.486666679,Meadows,149,31,58.19495392,24.53500938,-65.44999695,4577.350098
90.91544402,None,c(-1635046.02297808, 4235914.43306709),2857,2.54E-14,90,3,0.026394987,20,10,1,0.049333334,Steppes,235,21,65.40159607,60.20443726,53.20000076,578.8499756
98.34830391,None,c(-984244.061246355, 4288894.08976095),2460,36.4131546,47.84744263,414,1.207555652,20,1,20,0.206095234,Meadows,54,13,60.10189819,53.45887756,33.04999924,1858.699951
96.36968117,None,c(-1148608.03385101, 4323206.79528329),4583,26.86914063,35.35840607,256,1.727259755,20,5,10,0.071047619,Meadows,201,12,50.07206726,16.09999847,-79.65000153,2597.800049
96.93983875,None,c(-1122045.78929882, 4156573.4651729),4322,0.796760798,191.3099365,10,0.080721378,10,5,20,0.147047624,Deserts,203,21,57.41590118,33.58973312,-35.54999924,2812.149902
98.82522738,None,c(-945945.666041997, 4268365.74567017),2867,36.85648727,294.0471497,335,1.850174665,10,2,20,0.479999989,Meadows,199,11,59.86486816,50.52167511,8.300000191,2267.699951
99.01721591,None,c(-983533.49873923, 3782494.32844359),4858,16.94177628,3.336336613,175,3.904411554,5,5,20,0.164761901,Meadows,213,31,57.53794861,26.73314285,-55.5,4428
94.97988526,None,c(-1372837.45123345, 3631952.50347271),4672,10.74655056,2.882963419,84,1.156601667,10,5,20,0.668571413,deserts,193,31,59.91584015,33.64141083,-22.70000076,5545.25
100.390517,None,c(-851362.96230088, 3868767.53823607),3182,0.707496226,96.3401947,22,0.695505321,5,5,20,0.098285712,Scrubs,101,25,41.90222549,60.67695618,31.35000038,3896.5
98.34779068,None,c(-1044206.29984918, 3780947.13824099),4303,2.036623478,175.6012878,53,2.023560762,5,20,10,0.437333345,Meadows,201,31,56.15280151,29.42437935,-30.25,3791.649902
98.3469545,None,c(-1002107.46422769, 4138593.22638798),3888,1.562289834,216.8699036,13,0.17639026,10,1,10,0.409523815,Steppes,193,31,67.07377625,36.90742493,-36.90000153,3930.399902
98.57185189,None,c(-1020713.7773229, 3808983.9895523),4390,20.38258362,294.9660645,136,4.65810442,5,20,10,0.671428561,Meadows,201,31,58.31590271,35.35346985,-32.90000153,3665.199951
97.23762993,None,c(-1131779.81750984, 3881323.22200651),4846,20.05111885,170.537674,147,2.628347397,10,5,10,0.250857145,Deserts,203,32,47.59718323,16.93829155,-56.29999924,2468.100098
94.74279199,None,c(-1350304.49111467, 3919643.63060792),3989,14.6055088,73.27203369,94,2.856961727,2,5,20,0.177142859,Meadows,201,31,57.72105408,35.18925858,4.75,1451.699951
99.02078463,None,c(-994889.150811151, 3677536.71773928),4314,13.75246143,327.2839661,89,3.677165508,10,5,20,0.653142869,Meadows,193,11,67.6693573,37.94215393,-14.10000038,5240.75
98.15154654,None,c(-1016148.53316809, 4163079.92418195),4315,1.53868854,246.0375061,12,0.307273805,20,1,20,0.348952383,Meadows,193,32,52.847332,34.24708939,-58.95000076,3959.25
94.40940816,None,c(-1423070.4502133, 3649528.87004208),4707,6.492385387,44.02897644,86,1.663760304,2,5,20,0.605523825,Needleleaf Forests,193,31,65.23435974,45.5581131,-34.84999847,5275.399902
96.1710598,None,c(-1197074.00590971, 4098674.84936938),3756,6.397386551,18.43494797,48,0.7557441,20,10,20,0.121904761,Alpine Vegetation,203,24,40.21398926,49.9030571,2.950000048,1505.050049
94.61982676,None,c(-1331079.38409644, 4113580.37894753),2865,0.494149655,108.4349518,28,1.259087682,20,20,20,0.056952383,Meadows,100,25,31.76118469,45.0608902,50.20000076,571.5999756
92.680822,None,c(-1468945.32649744, 4301911.71517854),3012,1.657007337,188.1300964,10,0.151547343,20,5,20,0.051238097,steppes,164,26,37.40567017,42.66822052,16.89999962,353.8500061
99.07462699,None,c(-958162.757873037, 3965442.31872318),3323,1.881036401,41.63354111,21,0.151436269,20,5,10,0.164380953,Scrubs,206,22,57.26319885,53.21625519,17.79999924,2777.600098
93.27114362,None,c(-1453822.95565104, 4090767.72939212),2810,0.494149655,71.56504822,4,0.077365331,20,1,10,0.300190479,Needleleaf Forests,158,21,65.40493774,64.91184235,45,452.8500061
91.88995244,None,c(-1564701.13735013, 4154448.70358955),3490,18.0981369,348.6900635,153,3.625469208,20,5,20,0.060380954,Meadows,83,22,53.27439499,44.28363419,11.39999962,618.25
92.39333542,None,c(-1586730.78825239, 3783664.93377342),4586,2.469279766,325.3048401,22,0.580067515,5,2,10,0.321714282,Meadows,201,31,57.38409424,36.11257172,-31.60000038,3671.25
97.69268456,None,c(-1096946.85247042, 3833690.46426158),4551,3.313082457,74.98163605,25,0.219133511,20,1,20,0.277714282,Meadows,201,31,56.52394104,30.59814835,-40,3023.600098
99.36019708,None,c(-950332.834228831, 3803674.92695127),3969,25.51807022,89.0178833,165,3.871277571,2,2,20,0.619238079,Needleleaf Forests,193,31,66.23216248,40.0647583,-20.70000076,4150.950195
92.78534395,None,c(-1535535.28921054, 3870138.7487663),4665,0.672102034,125.5376816,8,0.080549635,10,2,10,0.211619049,Steppes,203,31,55.75975037,21.77345848,-41.65000153,3286.550049
95.96812238,None,c(-1265515.34862894, 3742836.04409593),4721,18.68447685,197.1197205,119,2.687922001,2,20,20,0.533904731,Broadleaf Forests,194,31,62.96296692,34.85539627,-38.84999847,4261.600098
94.36932108,None,c(-1316701.69170913, 4342986.79449041),2512,4.690529346,344.5778503,40,0.072337247,20,5,20,0.138095245,Broadleaf Forests,68,26,43.85828018,38.87495041,48.54999924,1061.650024
93.05413444,None,c(-1470380.26616293, 4106295.74717232),2813,0.15626733,180,4,0.092404164,20,5,20,0.28228572,Meadows,158,22,58.79857635,61.53772736,44.09999847,442.6499939
91.31055403,None,c(-1623278.46596836, 4115978.0336854),4610,10.45782471,161.0295868,81,1.416716337,20,5,10,0.144761905,Steppes,213,33,42.13832092,16.75009918,-42.54999924,1159.099976
97.08308327,None,c(-1176953.00224624, 3642149.90175293),4864,15.89589977,50.44033051,118,1.957580686,5,5,20,0.393523812,Steppes,193,31,59.98219299,29.23373222,-44.15000153,5717.649902
